R,C,A,N,Total,T,seed,Tseq_mean,Tseq_std,Tpar_mean,Tpar_std,Speedup,Eficiencia
100,900,100,100,900000000,10,22,0.888539,0.003676,0.422203,0.002839,2.104530,0.210453
100,1000,100,100,1000000000,1,22,0.982449,0.001621,0.912074,0.003316,1.077159,1.077159
100,1000,100,100,1000000000,2,22,0.982449,0.001621,0.559937,0.002511,1.754571,0.877285
100,1000,100,100,1000000000,3,22,0.982449,0.001621,0.490900,0.005166,2.001322,0.667107
100,1000,100,100,1000000000,4,22,0.982449,0.001621,0.458342,0.001574,2.143485,0.535871
100,1000,100,100,1000000000,5,22,0.982449,0.001621,0.475521,0.003153,2.066048,0.413210
100,1000,100,100,1000000000,6,22,0.982449,0.001621,0.462885,0.005103,2.122447,0.353741
100,1000,100,100,1000000000,7,22,0.982449,0.001621,0.452750,0.000834,2.169959,0.309994
100,1000,100,100,1000000000,8,22,0.982449,0.001621,0.449846,0.002267,2.183967,0.272996
100,1000,100,100,1000000000,9,22,0.982449,0.001621,0.469701,0.002810,2.091648,0.232405
100,1000,100,100,1000000000,10,22,0.982449,0.001621,0.465071,0.002189,2.112471,0.211247
100,100,100,100,100000000,1,23,0.102095,0.000908,0.094853,0.000411,1.076350,1.076350
100,100,100,100,100000000,2,23,0.102095,0.000908,0.059619,0.000400,1.712457,0.856229
100,100,100,100,100000000,3,23,0.102095,0.000908,0.052534,0.000936,1.943408,0.647803
100,100,100,100,100000000,4,23,0.102095,0.000908,0.049133,0.000353,2.077931,0.519483
100,100,100,100,100000000,5,23,0.102095,0.000908,0.050678,0.000348,2.014582,0.402916
100,100,100,100,100000000,6,23,0.102095,0.000908,0.049138,0.000178,2.077720,0.346287
100,100,100,100,100000000,7,23,0.102095,0.000908,0.049261,0.001131,2.072532,0.296076
100,100,100,100,100000000,8,23,0.102095,0.000908,0.049154,0.002130,2.077044,0.259630
100,100,100,100,100000000,9,23,0.102095,0.000908,0.050779,0.000525,2.010575,0.223397
100,100,100,100,100000000,10,23,0.102095,0.000908,0.050254,0.000542,2.031580,0.203158
100,100,300,100,300000000,1,23,0.294449,0.001207,0.272450,0.002597,1.080745,1.080745
100,100,300,100,300000000,2,23,0.294449,0.001207,0.168716,0.001768,1.745235,0.872617
100,100,300,100,300000000,3,23,0.294449,0.001207,0.148470,0.003177,1.983222,0.661074
100,100,300,100,300000000,4,23,0.294449,0.001207,0.139316,0.002282,2.113533,0.528383
100,100,300,100,300000000,5,23,0.294449,0.001207,0.143324,0.000420,2.054429,0.410886
100,100,300,100,300000000,6,23,0.294449,0.001207,0.139528,0.001717,2.110322,0.351720
100,100,300,100,300000000,7,23,0.294449,0.001207,0.136922,0.001032,2.150487,0.307212
100,100,300,100,300000000,8,23,0.294449,0.001207,0.137952,0.007080,2.134431,0.266804
100,100,300,100,300000000,9,23,0.294449,0.001207,0.142762,0.001683,2.062517,0.229169
100,100,300,100,300000000,10,23,0.294449,0.001207,0.139944,0.000864,2.104049,0.210405
100,100,500,100,500000000,1,23,0.487131,0.002392,0.449305,0.001076,1.084188,1.084188
100,100,500,100,500000000,2,23,0.487131,0.002392,0.276607,0.001184,1.761094,0.880547
100,100,500,100,500000000,3,23,0.487131,0.002392,0.243341,0.003296,2.001845,0.667282
100,100,500,100,500000000,4,23,0.487131,0.002392,0.228678,0.003176,2.130205,0.532551
100,100,500,100,500000000,5,23,0.487131,0.002392,0.236850,0.002657,2.056707,0.411341
100,100,500,100,500000000,6,23,0.487131,0.002392,0.229386,0.002576,2.123630,0.353938
100,100,500,100,500000000,7,23,0.487131,0.002392,0.225474,0.001621,2.160475,0.308639
100,100,500,100,500000000,8,23,0.487131,0.002392,0.224599,0.003349,2.168892,0.271112
100,100,500,100,500000000,9,23,0.487131,0.002392,0.234096,0.001717,2.080903,0.231211
100,100,500,100,500000000,10,23,0.487131,0.002392,0.232038,0.000813,2.099359,0.209936
100,100,700,100,700000000,1,23,0.691865,0.002377,0.640329,0.001461,1.080484,1.080484
100,100,700,100,700000000,2,23,0.691865,0.002377,0.402685,0.003061,1.718130,0.859065
100,100,700,100,700000000,3,23,0.691865,0.002377,0.353529,0.001047,1.957025,0.652342
100,100,700,100,700000000,4,23,0.691865,0.002377,0.334954,0.002710,2.065552,0.516388
100,100,700,100,700000000,5,23,0.691865,0.002377,0.344752,0.000352,2.006848,0.401370
100,100,700,100,700000000,6,23,0.691865,0.002377,0.334791,0.000647,2.066558,0.344426
100,100,700,100,700000000,7,23,0.691865,0.002377,0.331197,0.001173,2.088983,0.298426
100,100,700,100,700000000,8,23,0.691865,0.002377,0.328984,0.001617,2.103035,0.262879
100,100,700,100,700000000,9,23,0.691865,0.002377,0.342025,0.002127,2.022849,0.224761
100,100,700,100,700000000,10,23,0.691865,0.002377,0.338140,0.001680,2.046090,0.204609
100,100,900,100,900000000,1,23,0.855937,0.002084,0.791626,0.001173,1.081239,1.081239
100,100,900,100,900000000,2,23,0.855937,0.002084,0.486661,0.001647,1.758795,0.879398
100,100,900,100,900000000,3,23,0.855937,0.002084,0.424498,0.001870,2.016351,0.672117
100,100,900,100,900000000,4,23,0.855937,0.002084,0.405241,0.006558,2.112168,0.528042
100,100,900,100,900000000,5,23,0.855937,0.002084,0.415598,0.002263,2.059531,0.411906
100,100,900,100,900000000,6,23,0.855937,0.002084,0.402839,0.002273,2.124762,0.354127
100,100,900,100,900000000,7,23,0.855937,0.002084,0.397179,0.003567,2.155041,0.307863
100,100,900,100,900000000,8,23,0.855937,0.002084,0.393705,0.003084,2.174057,0.271757
